time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,action,reward,done
0.5800000000000002,0.0,0.0,12.856412639660332,0.0,0.0,0.0,0.0,0.0,9.821203120273895,0.0,0.0,0.0,[707.3322175428068],-8.714358736033967,False
0.6000000000000002,0.0,0.0,13.056077373865982,0.0,0.0,0.0,0.0,0.0,10.145270300291074,0.0,0.0,0.0,[715.1670676985507],-8.694392262613404,False
0.6200000000000002,0.0,0.0,13.262228431216148,0.0,0.0,0.0,0.0,0.0,10.469835434725349,0.0,0.0,0.0,[719.1336726058411],-8.673777156878387,False
0.6400000000000002,0.0,0.0,13.475083041818829,0.0,0.0,0.0,0.0,0.0,10.8156256255427,0.0,0.0,0.0,[735.0277536478943],-8.652491695818117,False
0.6600000000000003,0.0,0.0,13.694830774556667,0.0,0.0,0.0,0.0,0.0,11.159147648241234,0.0,0.0,0.0,[737.8202983301057],-8.630516922544334,False
0.6800000000000003,0.0,0.0,13.92142205199849,0.0,0.0,0.0,0.0,0.0,11.499980095941002,0.0,0.0,0.0,[740.4691052224936],-8.60785779480015,False
0.7000000000000003,0.0,0.0,14.154943039008284,0.0,0.0,0.0,0.0,0.0,11.852118605038282,0.0,0.0,0.0,[750.9965091310559],-8.584505696099171,False
0.7200000000000003,0.0,0.0,14.395470971601373,0.0,0.0,0.0,0.0,0.0,12.200674654270662,0.0,0.0,0.0,[753.4704350544845],-8.560452902839863,False
0.7400000000000003,0.0,0.0,14.64303399432572,0.0,0.0,0.0,0.0,0.0,12.55562761816399,0.0,0.0,0.0,[761.4938391408813],-8.535696600567428,False
0.7600000000000003,0.0,0.0,14.897768070954925,0.0,0.0,0.0,0.0,0.0,12.917780044756615,0.0,0.0,0.0,[770.08083713523],-8.510223192904508,False
0.7800000000000004,0.0,0.0,15.159784386619098,0.0,0.0,0.0,0.0,0.0,13.28385152166067,0.0,0.0,0.0,[777.0479818256985],-8.484021561338091,False
0.8000000000000004,0.0,0.0,15.429125319178397,0.0,0.0,0.0,0.0,0.0,13.650241734269285,0.0,0.0,0.0,[782.2311324363168],-8.457087468082161,False
0.8200000000000004,0.0,0.0,15.70580579643578,0.0,0.0,0.0,0.0,0.0,14.01780599146888,0.0,0.0,0.0,[787.9748728424153],-8.429419420356423,False
0.8400000000000004,0.0,0.0,15.98976269149011,0.0,0.0,0.0,0.0,0.0,14.37788351396413,0.0,0.0,0.0,[789.2798161131205],-8.401023730850989,False
0.8600000000000004,0.0,0.0,16.280883481939547,0.0,0.0,0.0,0.0,0.0,14.734195530979385,0.0,0.0,0.0,[792.566329875202],-8.371911651806045,False
0.8800000000000004,0.0,0.0,16.579168679887463,0.0,0.0,0.0,0.0,0.0,15.094324263812362,0.0,0.0,0.0,[799.8684167990497],-8.342083132011254,False
0.9000000000000005,0.0,0.0,16.88456033332677,0.0,0.0,0.0,0.0,0.0,15.444841080118596,0.0,0.0,0.0,[800.3404702930795],-8.311543966667323,False
0.9200000000000005,0.0,0.0,17.19671824454095,0.0,0.0,0.0,0.0,0.0,15.770950041299416,0.0,0.0,0.0,[793.0687297540704],-8.280328175545906,False
0.9400000000000005,0.0,0.0,17.51550925836252,0.0,0.0,0.0,0.0,0.0,16.108151340857653,0.0,0.0,0.0,[804.0409571930259],-8.248449074163748,False
0.9600000000000005,0.0,0.0,17.841020923511614,0.0,0.0,0.0,0.0,0.0,16.443015174051713,0.0,0.0,0.0,[808.2668965395416],-8.215897907648838,False
0.9800000000000005,0.0,0.0,18.173448940509093,0.0,0.0,0.0,0.0,0.0,16.79978652569619,0.0,0.0,0.0,[824.866798149074],-8.182655105949092,False
1.0000000000000004,0.0,0.0,18.512908777425125,0.0,0.0,0.0,0.0,0.0,17.14619716590673,0.0,0.0,0.0,[825.4981532051345],-8.148709122257486,False
1.0200000000000005,0.0,0.0,18.8593524965884,0.0,0.0,0.0,0.0,0.0,17.498174750420862,0.0,0.0,0.0,[834.0623877648292],-8.11406475034116,False
1.0400000000000005,0.0,0.0,19.21281262126456,0.0,0.0,0.0,0.0,0.0,17.847837717195425,0.0,0.0,0.0,[838.8497005961883],-8.078718737873544,False
1.0600000000000005,0.0,0.0,19.573161137851297,0.0,0.0,0.0,0.0,0.0,18.187013941478316,0.0,0.0,0.0,[839.6498232688936],-8.04268388621487,False
1.0800000000000005,0.0,0.0,19.940327339751057,0.0,0.0,0.0,0.0,0.0,18.52960624849763,0.0,0.0,0.0,[847.2377019872384],-8.005967266024893,False
1.1000000000000005,0.0,0.0,20.314364895346415,0.0,0.0,0.0,0.0,0.0,18.87414931103797,0.0,0.0,0.0,[854.2147130615737],-7.9685635104653585,False
1.1200000000000006,0.0,0.0,20.695296341435025,0.0,0.0,0.0,0.0,0.0,19.21899529782314,0.0,0.0,0.0,[860.4845998987489],-7.930470365856498,False
1.1400000000000006,0.0,0.0,21.08293919350198,0.0,0.0,0.0,0.0,0.0,19.545289908871982,0.0,0.0,0.0,[857.7284687302331],-7.8917060806498025,False
1.1600000000000006,0.0,0.0,21.476968192602737,0.0,0.0,0.0,0.0,0.0,19.85761000120386,0.0,0.0,0.0,[856.9559074797831],-7.852303180739726,False
1.1800000000000006,0.0,0.0,21.877160898233836,0.0,0.0,0.0,0.0,0.0,20.16166056190601,0.0,0.0,0.0,[858.7881426369099],-7.812283910176616,False
1.2000000000000006,0.0,0.0,22.283321012636947,0.0,0.0,0.0,0.0,0.0,20.454350878404938,0.0,0.0,0.0,[859.0551669549045],-7.771667898736306,False
